name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
GJ 4276 b,70,16.57 Earths,12.903,2019
GJ 433 b,30,6.043 Earths,9.81,2011
GJ 433 c,30,32.422 Earths,9.81,2014
GJ 433 d,30,5.223 Earths,9.81,2020
GJ 436 b,32,22.1 Earths,10.67,2004
GJ 480 b,46,13.2 Earths,11.49,2020
GJ 486 b,26,2.82 Earths,11.39,2021
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 504 b,57,4 Jupiters,5.18799,2013
GJ 536 b,34,5.36 Earths,9.71,2016
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 c,21,5.5 Earths,10.57,2007
GJ 581 e,21,1.7 Earths,10.57,2009
GJ 625 b,21,2.82 Earths,10.066,2017
GJ 649 b,34,0.328 Jupiters,9.7,2009
GJ 667 C b,24,5.6 Earths,10.602,2011
GJ 667 C c,24,3.8 Earths,10.602,2011
GJ 667 C e,24,2.7 Earths,10.602,2013
GJ 667 C f,24,2.7 Earths,10.602,2013
GJ 667 C g,24,4.6 Earths,10.602,2013
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 676 A b,52,6.7 Jupiters,9.58,2010
GJ 676 A c,52,6.8 Jupiters,9.58,2016
GJ 676 A d,52,4.4 Earths,9.58,2012
GJ 676 A e,52,8.1 Earths,9.58,2012
GJ 682 b,16,4.4 Earths,10.94,2014
GJ 682 c,16,8.7 Earths,10.94,2014
GJ 685 b,47,9 Earths,9.98,2019
GJ 687 b,15,17.2 Earths,9.15,2014
GJ 687 c,15,16 Earths,9.15,2020
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 740 b,36,2.96 Earths,9.22,2021
GJ 832 b,16,0.68 Jupiters,8.66,2008
GJ 832 c,16,5.4 Earths,8.66,2014
GJ 849 b,29,0.9 Jupiters,10.41,2006
GJ 849 c,29,0.702 Jupiters,10.41,2014
GJ 86 b,35,4.42 Jupiters,6.12,1999
GJ 876 b,15,2.2756 Jupiters,10.16,1998
GJ 876 c,15,0.7142 Jupiters,10.16,2000
GJ 876 d,15,6.83 Earths,10.16,2005
GJ 876 e,15,14.6 Earths,10.16,2010
GJ 887 b,11,4.2 Earths,7.56,2020
GJ 887 c,11,7.6 Earths,7.56,2020
GJ 9066 b,15,30.9 Earths,12.71,2020
GJ 9066 c,15,0.22528 Jupiters,12.71,2020
GJ 9689 b,100,9.65 Earths,11.297,2020
GJ 96 b,39,19.66 Earths,9.4,2018
GJ 9827 b,97,4.91 Earths,10.37,2017
GJ 9827 c,97,0.84 Earths,10.37,2017
GJ 9827 d,97,4.04 Earths,10.37,2017
Gl 378 b,49,13.02 Earths,10.03,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 686 b,27,6.624 Earths,9.62,2018
GPX-1 b,2137,19.7 Jupiters,12.316,2021
GQ Lupi b,493,20 Jupiters,11.593,2004
GSC 06214-00210 b,354,16 Jupiters,12.416,2010
GU Piscium b,155,11.3 Jupiters,14.146,2014
HAT-P-11 b,123,26.69772 Earths,9.46,2008
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-11 c,123,2.3 Jupiters,9.46,2018
HAT-P-12 b,466,0.211 Jupiters,12.665,2009
HAT-P-13 b,805,0.851 Jupiters,10.421,2009
HAT-P-13 c,805,14.28 Jupiters,10.421,2009
HAT-P-14 b,726,3.44 Jupiters,9.988,2010
HAT-P-15 b,628,1.94 Jupiters,12.41,2010
HAT-P-16 b,739,4.193 Jupiters,10.911,2010
HAT-P-17 b,301,0.58 Jupiters,10.375,2010
HAT-P-17 c,301,3.4 Jupiters,10.375,2010
HAT-P-18 b,526,0.197 Jupiters,12.597,2010
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-19 b,659,0.292 Jupiters,12.826,2010
HAT-P-1 b,519,0.525 Jupiters,9.827,2006
HAT-P-20 b,232,7.246 Jupiters,11.231,2010
HAT-P-21 b,904,4.87 Jupiters,11.459,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
HAT-P-25 b,980,0.569 Jupiters,13.146,2010
HAT-P-26 b,463,22.2481 Earths,11.757,2010
HAT-P-27 b,650,0.62 Jupiters,12.052,2011
HAT-P-37 b,1274,1.169 Jupiters,13.427,2011
HAT-P-38 b,832,0.267 Jupiters,12.525,2012
HAT-P-39 b,2274,0.599 Jupiters,12.282,2012
HAT-P-3 b,439,0.65 Jupiters,11.856,2007
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-41 b,1136,1.19 Jupiters,11.365,2012
HAT-P-42 b,1322,1.044 Jupiters,12.125,2012
HAT-P-43 b,1725,0.662 Jupiters,13.279,2012
HAT-P-44 b,1135,0.352 Jupiters,13.225,2014
HAT-P-44 c,1135,4 Jupiters,13.225,2014
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
HAT-P-54 b,469,0.76 Jupiters,13.398,2015
HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
HAT-P-45 b,974,0.892 Jupiters,12.783,2014
HAT-P-46 b,948,0.493 Jupiters,11.997,2014
HAT-P-49 b,1143,2.2 Jupiters,10.205,2014
HAT-P-4 b,1045,0.671 Jupiters,11.118,2007
HAT-P-50 b,1681,1.35 Jupiters,11.703,2015
HAT-P-51 b,1436,0.309 Jupiters,13.51,2015
HAT-P-52 b,1178,0.818 Jupiters,14.107,2015
HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
HAT-P-54 b,469,0.76 Jupiters,13.398,2015
HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HATS-14 b,1673,1.071 Jupiters,14.052,2015
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HATS-16 b,2469,3.27 Jupiters,13.957,2016
HATS-17 b,1306,1.338 Jupiters,12.402,2016
HATS-18 b,2037,1.9795 Jupiters,14.188,2016
HATS-1 b,926,1.855 Jupiters,12.155,2012
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HATS-14 b,1673,1.071 Jupiters,14.052,2015
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HATS-16 b,2469,3.27 Jupiters,13.957,2016
HATS-17 b,1306,1.338 Jupiters,12.402,2016
HATS-18 b,2037,1.9795 Jupiters,14.188,2016
HATS-1 b,926,1.855 Jupiters,12.155,2012
HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
HAT-P-68 b,659,0.724 Jupiters,13.802,2020
HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
HAT-P-6 b,898,1.32 Jupiters,10.469,2007
HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
HAT-P-8 b,690,1.28 Jupiters,10.358,2008
HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
HATS-10 b,1745,0.526 Jupiters,13.202,2015
HATS-11 b,3081,0.83 Jupiters,14.06,2016
HATS-12 b,2434,2.39 Jupiters,12.831,2016
HATS-13 b,1376,0.543 Jupiters,13.911,2015
HATS-14 b,1673,1.071 Jupiters,14.052,2015
HATS-15 b,3717,2.17 Jupiters,14.909,2016
HATS-16 b,2469,3.27 Jupiters,13.957,2016
HATS-17 b,1306,1.338 Jupiters,12.402,2016
HATS-18 b,2037,1.9795 Jupiters,14.188,2016
HATS-1 b,926,1.855 Jupiters,12.155,2012
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-24 b,1612,2.26 Jupiters,12.915,2017
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-24 b,1612,2.26 Jupiters,12.915,2017
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-24 b,1612,2.26 Jupiters,12.915,2017
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-24 b,1612,2.26 Jupiters,12.915,2017
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-24 b,1612,2.26 Jupiters,12.915,2017
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-24 b,1612,2.26 Jupiters,12.915,2017
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-22 b,749,2.74 Jupiters,13.397,2017
HATS-23 b,2084,1.47 Jupiters,13.84,2017
HATS-24 b,1612,2.26 Jupiters,12.915,2017
HATS-25 b,1537,0.613 Jupiters,13.172,2016
HATS-26 b,2811,0.65 Jupiters,13.006,2016
HATS-27 b,2665,0.53 Jupiters,12.782,2016
HATS-28 b,1746,0.672 Jupiters,13.981,2016
HATS-29 b,1154,0.653 Jupiters,12.62,2016
HATS-2 b,1115,1.345 Jupiters,13.565,2013
HATS-30 b,1116,0.706 Jupiters,12.283,2016
HATS-40 b,4379,1.59 Jupiters,13.478,2018
HATS-41 b,2406,9.7 Jupiters,12.678,2018
HATS-42 b,2611,1.88 Jupiters,13.682,2018
HATS-43 b,1182,0.261 Jupiters,13.562,2018
HATS-44 b,1455,0.56 Jupiters,14.397,2018
HATS-45 b,2519,0.7 Jupiters,13.325,2018
HATS-46 b,1480,0.173 Jupiters,13.783,2018
HATS-47 b,981,0.369 Jupiters,14.602,2020
HATS-48 A b,860,0.243 Jupiters,14.226,2020
HATS-49 b,1058,0.353 Jupiters,14.988,2020
HATS-59 b,2097,0.806 Jupiters,14.033,2018
HATS-59 c,2097,12.7 Jupiters,14.033,2018
HATS-5 b,804,0.237 Jupiters,12.598,2014
HATS-60 b,1587,0.662 Jupiters,12.662,2018
HATS-61 b,2217,3.4 Jupiters,13.352,2018
HATS-62 b,1706,0.179 Jupiters,14.171,2018
HATS-63 b,2033,0.96 Jupiters,13.992,2018
HATS-64 b,3523,0.96 Jupiters,13.045,2018
HATS-65 b,1609,0.821 Jupiters,12.679,2018
HATS-66 b,4821,5.33 Jupiters,14.283,2018
HATS-67 b,3132,1.45 Jupiters,13.698,2018
HATS-68 b,1970,1.29 Jupiters,12.312,2018
HATS-69 b,1352,0.577 Jupiters,14.074,2018
HATS-6 b,552,0.319 Jupiters,15.044,2015
HATS-70 b,4759,12.9 Jupiters,12.227,2019
HATS-71 b,457,0.37 Jupiters,16.437,2020
HATS-72 b,416,39.85588 Earths,12.324,2020
HATS-7 b,785,38.1396 Earths,13.347,2015
HATS-8 b,2592,0.138 Jupiters,14.512,2015
HATS-9 b,2083,0.837 Jupiters,13.256,2015
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 100546 b,358,752 Jupiters,6.69,2014
HD 100655 b,447,1.61 Jupiters,6.4421,2011
HD 100777 b,162,1.03 Jupiters,8.42,2007
HD 10180 c,127,13.1 Earths,7.33,2010
HD 10180 d,127,11.75 Earths,7.33,2010
HD 10180 e,127,25.1 Earths,7.33,2010
HD 10180 f,127,23.9 Earths,7.33,2010
HD 10180 g,127,21.4 Earths,7.33,2010
HD 10180 h,127,0.203 Jupiters,7.33,2010
HD 101930 b,98,0.25 Jupiters,8.21,2005
HD 103774 b,184,0.367 Jupiters,7.13463,2013
HD 103949 b,86,11.2 Earths,8.7,2019
HD 104067 b,66,0.16 Jupiters,7.92,2009
HD 10442 b,442,1.487 Jupiters,7.828,2014
HD 104985 b,328,8.3 Jupiters,5.79389,2003
HD 106252 b,125,6.93 Jupiters,7.41,2002
HD 106270 b,306,10.13 Jupiters,7.58,2011
HD 106315 b,357,12.6 Earths,8.951,2017
HD 106315 c,357,15.2 Earths,8.951,2017
HD 10647 b,57,0.94 Jupiters,5.52,2006
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 108147 b,127,0.261 Jupiters,6.99,2002
HD 108236 b,211,3.24 Earths,9.25,2020
HD 108236 c,211,4.94 Earths,9.25,2020
HD 108236 d,211,6.98 Earths,9.25,2020
HD 108236 e,211,9.71 Earths,9.25,2020
HD 106515 A b,111,9.61 Jupiters,7.971,2012
HD 106906 b,336,11 Jupiters,7.8,2013
HD 10697 b,108,6.383 Jupiters,6.28262,1999
HD 107148 b,161,0.21 Jupiters,8.01,2005
HD 107148 c,161,19.89606 Earths,8.01,2021
HD 108147 b,127,0.261 Jupiters,6.99,2002
HD 108236 b,211,3.24 Earths,9.25,2020
HD 108236 c,211,4.94 Earths,9.25,2020
HD 108236 d,211,6.98 Earths,9.25,2020
HD 108236 e,211,9.71 Earths,9.25,2020
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 112640 b,1055,5 Jupiters,6.53649,2020
HD 113337 b,118,2.83 Jupiters,6.02078,2013
HD 113538 b,53,0.36 Jupiters,9.05,2010
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 112640 b,1055,5 Jupiters,6.53649,2020
HD 113337 b,118,2.83 Jupiters,6.02078,2013
HD 113538 b,53,0.36 Jupiters,9.05,2010
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 112640 b,1055,5 Jupiters,6.53649,2020
HD 113337 b,118,2.83 Jupiters,6.02078,2013
HD 113538 b,53,0.36 Jupiters,9.05,2010
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 112640 b,1055,5 Jupiters,6.53649,2020
HD 113337 b,118,2.83 Jupiters,6.02078,2013
HD 113538 b,53,0.36 Jupiters,9.05,2010
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 112640 b,1055,5 Jupiters,6.53649,2020
HD 113337 b,118,2.83 Jupiters,6.02078,2013
HD 113538 b,53,0.36 Jupiters,9.05,2010
HD 110014 b,329,11.09 Jupiters,4.64597,2009
HD 110082 b,343,10.3 Earths,9.23,2021
HD 110113 b,347,4.55 Earths,10.09,2021
HD 110113 c,347,10.5 Earths,10.09,2021
HD 111232 b,94,7.14 Jupiters,7.59,2003
HD 111591 b,372,4.4 Jupiters,6.417,2017
HD 111998 b,108,4.51 Jupiters,6.11006,2016
HD 112640 b,1055,5 Jupiters,6.53649,2020
HD 113337 b,118,2.83 Jupiters,6.02078,2013
HD 113538 b,53,0.36 Jupiters,9.05,2010
HD 113538 c,53,0.93 Jupiters,9.05,2010
HD 113996 b,379,6.3 Jupiters,4.77044,2017
